Source,Target,Weight
bera,member,1
bera,journal,1
bera,’,1
bera,offic,1
bera,bera,1
bera,blog,5
bera,bite,2
member,receiv,1
member,discount,1
member,school,1
receiv,access,1
receiv,member,1
access,bera,1
access,manner,1
journal,latest,1
latest,digit,1
latest,special,1
digit,issu,1
issu,research,1
issu,access,1
issu,seri,1
issu,bera,1
issu,publish,1
issu,led,1
research,intellig,1
research,inform,1
research,special,1
research,seri,1
intellig,abl,1
abl,join,1
join,commun,1
commun,receiv,1
commun,politician,1
discount,book,1
book,event,1
event,blog,1
blog,establish,1
blog,edit,1
blog,offici,1
blog,newslett,1
blog,post,4
blog,collect,1
blog,seri,1
blog,’,1
blog,key,1
blog,use,1
blog,would,1
blog,pleas,1
establish,2015,1
2015,provid,1
provid,research,1
provid,us,1
inform,content,1
inform,sub-sit,1
content,key,1
content,approv,1
content,topic,1
key,educ,1
key,topic,1
educ,issu,1
educ,leader,1
educ,today,1
educ,research,2
educ,present,1
educ,collect,1
manner,aim,1
aim,produc,1
produc,promot,1
promot,articl,1
articl,attract,1
articl,includ,2
articl,bera,1
articl,click,1
articl,make,1
attract,academ,1
academ,policymak,1
academ,repres,1
policymak,parent,1
parent,teacher,1
teacher,educ,1
leader,member,1
leader,univers,1
school,commun,1
politician,anyon,1
anyon,interest,1
anyon,whether,1
interest,educ,1
interest,read,1
today,blog,1
edit,small,1
small,team,1
team,combin,1
team,howev,1
team,post,1
combin,academ,1
repres,chosen,1
chosen,bera,1
’,public,1
’,editori,1
’,provid,1
’,made,1
public,committe,1
public,one,1
public,share,1
committe,bera,1
offic,content,1
approv,public,1
one,team,1
howev,view,1
howev,give,1
view,author,1
view,express,1
view,bera,1
author,view,1
author,prompt,1
express,blog,1
offici,view,1
newslett,monthli,1
newslett,special,1
monthli,round-up,1
round-up,blog,1
post,latest,1
post,select,1
post,write,1
post,relat,1
post,ad,1
special,issu,4
seri,bera,1
seri,ongo,1
seri,care,1
seri,time,1
seri,present,1
bite,well,1
bite,seri,1
well,featur,1
featur,blog,1
featur,introduct,1
select,lead,1
select,articl,1
lead,editor,1
editor,sign,1
editor,respons,1
editor,expertis,1
sign,newslett,1
collect,six,1
collect,divers,1
collect,blog,1
collect,featur,1
six,eight,1
eight,articl,1
includ,editori,1
includ,question,1
editori,particular,1
editori,click,1
editori,team,1
particular,theme,1
particular,topic,1
theme,30,1
theme,educ,1
30,special,1
publish,date,1
date,find,1
find,collect,1
divers,rang,1
rang,topic,1
topic,relat,1
topic,theme,1
topic,educ,1
topic,would,1
relat,educ,1
relat,particular,1
led,guest,1
guest,editor,1
respons,commiss,1
commiss,collat,1
collat,blog,1
write,editori,1
write,us,1
click,read,3
read,bera,2
read,blog,1
read,experi,1
ongo,collect,1
care,curat,1
curat,blog,1
ad,seri,1
time,click,1
present,select,1
present,easili,1
easili,printabl,1
printabl,digest,1
digest,format,1
format,serv,1
serv,teach,1
teach,learn,1
learn,resourc,1
resourc,student,1
student,profession,1
profession,educ,1
introduct,editor,1
expertis,field,1
field,articl,1
question,discuss,1
discuss,compos,1
compos,author,1
prompt,reader,1
reader,explor,1
reader,would,1
explor,idea,1
idea,argument,1
argument,put,1
put,forward,1
forward,origin,1
origin,articl,1
use,googl,1
use,‘,1
use,ask,1
googl,analyt,1
analyt,use,1
‘,cooki,1
cooki,technolog,1
technolog,’,1
us,statist,1
us,email,1
us,previous,1
us,suggest,1
statist,inform,1
sub-sit,bera.ac.uk,1
bera.ac.uk,use,1
ask,email,1
email,address,2
address,want,1
address,’,1
want,submit,1
submit,articl,1
make,complaint,1
complaint,howev,1
give,us,1
made,public,1
share,anyon,1
share,thought,1
whether,written,1
written,us,1
previous,regular,1
regular,reader,1
would,welcom,1
would,like,1
would,interest,1
welcom,feedback,1
feedback,bera,1
like,share,1
thought,exist,1
exist,content,1
experi,write,1
suggest,improv,1
improv,blog,1
pleas,complet,1
complet,form,1
form,professor,1
professor,education/research,1
education/research,degre,1
degre,leader,1
univers,east,1
east,london,1
