Source,Target,Weight
start,mom,1
start,blog,2
start,5,1
mom,blog,1
blog,’,2
blog,world,1
blog,made,1
blog,”,1
blog,differ,1
blog,tend,1
blog,type,1
blog,focus,1
blog,vs,1
blog,two,1
blog,step,1
blog,🙂,1
blog,person,1
blog,place,1
blog,cross,1
blog,plenti,1
blog,whew,1
blog,super,1
blog,industri,1
blog,find,1
’,secret,1
’,way,1
’,readi,1
’,cheap,1
’,continue…,1
’,enter,1
’,imper,1
’,got,1
’,get,1
’,plain,1
secret,blog,1
world,full,1
full,ton,1
ton,differ,1
differ,nich,1
differ,type,1
differ,go,1
differ,lifestyl,1
differ,audienc,1
nich,blog,1
made,financi,1
financi,inform,1
inform,famili,1
famili,adventur,1
adventur,lifestyl,1
lifestyl,tip,1
lifestyl,blog,6
lifestyl,”,1
lifestyl,focus,1
tip,hack,1
hack,realli,1
realli,anyth,1
anyth,everyth,1
everyth,blogger,1
blogger,want,1
want,write,1
want,give,1
write,one,1
one,question,1
one,state,1
question,constantli,1
question,overal,1
constantli,hear,1
hear,“,1
hear,loud,1
“,lifestyl,2
“,storytel,1
”,great,1
”,dictionari,1
”,tri,1
great,question,1
overal,simpl,1
simpl,answer,1
simpl,see,1
answer,lifestyl,1
type,blog,2
tend,focu,1
focu,bit,1
bit,visual,1
visual,make,1
make,certain,1
make,person,1
make,live,1
certain,use,1
use,high-qual,1
high-qual,imag,1
imag,showcas,1
showcas,activ,1
showcas,diari,1
activ,interest,1
activ,less,1
activ,find,1
interest,actual,1
interest,activ,2
actual,look,1
actual,quit,1
look,word,1
look,follow,1
word,“,1
word,emot,1
dictionari,liter,1
liter,mean,1
mean,’,1
way,person,1
way,pull,1
way,open,1
person,group,1
person,connect,1
person,blog,5
person,stori,1
group,live,1
live,stori,1
live,thousand,1
live,work,1
live,write,1
stori,told,1
stori,may,1
stori,emot,1
stori,live,1
told,ye,1
ye,experi,1
ye,emot,1
experi,discuss,1
discuss,talk,1
talk,ye,1
emot,stori,1
emot,reader,1
emot,’,1
may,get,1
get,sprinkl,1
get,wrong,1
sprinkl,maybe…,1
maybe…,differenti,1
differenti,lifestyl,1
focus,interest,2
less,“,1
storytel,”,1
tri,make,1
connect,word,1
reader,similar,1
similar,lifestyl,1
vs,person,1
two,actual,1
two,blog,1
quit,differ,1
go,want,1
give,quick,1
quick,remind,1
remind,’,1
readi,start,1
step,step,1
step,tutori,1
tutori,impact,1
impact,live,1
thousand,peopl,1
peopl,make,1
work,home,1
home,start,1
5,month,1
month,wait,1
wait,’,1
cheap,start,1
🙂,bookmark,1
bookmark,post,1
post,rememb,1
rememb,come,1
come,back,1
back,okay,1
okay,let,1
let,’,1
continue…,first,1
first,foremost,1
foremost,understand,1
understand,100,1
understand,complet,1
100,hear,1
loud,clear,1
clear,–,1
–,lifestyl,1
place,showcas,1
diari,life,1
life,blog,1
cross,person,1
enter,realm,1
realm,person,1
plenti,popular,1
popular,person,1
imper,understand,1
complet,differ,1
whew,’,1
got,understood…,1
understood…,’,1
wrong,two,1
super,success,1
success,blog,1
industri,howev,1
howev,look,1
follow,engag,1
follow,one,1
engag,audienc,1
audienc,’,1
audienc,set,1
plain,simpl,1
see,attract,1
attract,total,1
total,differ,1
set,follow,1
state,lifestyl,1
find,fun,1
find,way,1
fun,way,1
pull,person,1
open,stori,1
