Source,Target,Weight
What,Is,1
Is,Content,1
Content,Marketing?,1
Marketing?,The,1
The,Complete,1
Complete,Guide,1
Guide,for,1
for,2024,1
2024,I’ll,1
I’ll,be,1
be,honest:,1
honest:,I,1
I,don’t,1
don’t,think,1
think,all,1
all,that,1
that,much,1
much,about,1
about,content,1
content,marketing,1
marketing,when,1
when,I’m,1
I’m,off,1
off,the,1
the,clock.,1
clock.,You’re,1
You’re,more,1
more,likely,1
likely,to,1
to,find,1
find,me,1
me,repotting,1
repotting,a,1
a,plant,1
