Source,Target,Weight
lifestyl,blogger,6
lifestyl,blog,7
lifestyl,content,1
blogger,look,1
blogger,’,2
blogger,defin,1
blogger,creat,1
blogger,may,2
blogger,person,1
blogger,2,1
look,new,2
new,blog,1
new,content,1
new,lifestyl,1
new,job,1
new,interest,1
blog,post,4
blog,as…,1
blog,never,1
blog,topic,2
blog,typic,1
blog,get,1
blog,categori,2
blog,see,1
post,idea,3
post,grow,1
idea,attract,1
idea,use,2
idea,get,1
idea,begin,1
attract,target,1
target,audienc,1
audienc,’,1
’,come,1
’,share,1
’,got,1
’,block,1
’,look,1
’,bit,1
’,everyday,1
’,content,1
’,find,1
’,discuss,1
’,import,1
’,interest,1
’,learn,1
’,read,1
come,right,1
right,place,1
place,’,1
share,100,1
share,fave,1
share,word,1
share,person,3
share,anyth,1
share,’,1
share,someth,1
share,similar,1
100,lifestyl,1
100,new,1
use,’,1
use,broad,1
use,1,1
got,case,1
got,hard,1
case,writer,1
writer,’,1
block,’,1
content,idea,2
content,represent,1
content,inspir,1
content,variou,1
content,’,1
content,categori,1
content,tip,1
content,relev,1
get,start,1
get,know,1
get,specif,1
start,term,1
start,ground,1
term,‘,1
‘,lifestyl,1
‘,word,1
‘,becom,1
bit,broad,1
broad,want,1
broad,topic,1
want,defin,1
want,write,1
defin,you…,1
defin,differ,1
defin,lifestyl,1
defin,blog,1
you…,lifestyl,1
differ,way,1
way,media,1
way,help,1
way,make,1
media,kix,1
kix,defin,1
as…,“,1
“,digit,1
digit,content,1
represent,author,1
author,’,1
everyday,life,1
life,interest,1
life,6,1
life,updat,1
life,reader,1
life,content,1
interest,lifestyl,1
interest,daili,1
interest,relat,1
interest,life,1
interest,9,1
creat,content,1
creat,‘,1
creat,intent,1
creat,share,1
inspir,curat,1
curat,person,1
person,interest,1
person,growth,1
person,level,1
person,goal,1
person,stori,2
person,bucket,1
person,life,1
person,experi,1
daili,activ,1
activ,”,1
”,mean,1
mean,content,1
variou,lifestyl,1
never,one,1
one,blogger,1
may,passion,1
may,love,1
passion,food,1
food,person,1
growth,bullet,1
bullet,journal,1
journal,lifestyl,1
topic,cover,1
topic,let,1
topic,give,1
cover,anoth,1
cover,lot,1
anoth,lifestyl,1
love,thing,1
love,13,1
thing,tea,1
tea,minim,1
minim,self,1
self,care,2
self,8,1
care,’,1
care,routin,1
find,peopl,1
find,way,1
peopl,follow,1
follow,lifestyl,1
typic,get,1
know,blogger,1
level,blog,1
specif,lifestyl,1
let,’,1
discuss,popular,1
popular,content,1
popular,recent,1
categori,’,1
categori,want,1
categori,cover,1
categori,great,1
import,defin,1
write,blog,1
write,person,1
see,categori,1
lot,also,1
lot,add,1
also,lot,1
add,depend,1
depend,lifestyl,1
relat,15,1
15,type,1
type,blog,1
grow,traffic,1
traffic,blog,1
great,start,1
ground,gener,1
gener,lifestyl,1
give,100,1
give,advic,1
begin,use,1
1,becam,1
becam,blogger,1
2,’,1
learn,past,1
learn,think,1
past,year,1
year,3,1
year,–,1
year,‘,1
year,way,1
3,quarterli,1
quarterli,person,1
quarterli,life,1
goal,4,1
4,best,1
best,purchas,1
best,hack,1
purchas,month,1
month,–,1
month,person,1
–,share,1
–,creat,1
–,new,1
fave,book,1
book,cute,1
cute,top,1
top,planner,1
planner,etc,1
etc,5,1
5,share,1
word,year,2
becom,quit,1
quit,popular,1
recent,year,1
recent,move,1
help,creat,1
intent,life,1
6,share,1
stori,got,1
stori,share,1
hard,time,1
time,overcam,1
overcam,obstacl,1
obstacl,7,1
7,give,1
advic,younger,1
younger,self,1
8,monthli,1
monthli,quarterli,1
updat,–,1
job,recent,1
move,plan,1
plan,trip,1
trip,share,1
anyth,new,1
reader,interest,1
reader,share,1
9,creat,1
bucket,list,1
list,10,1
10,share,1
read,month,1
tip,even,1
even,write,1
experi,alway,1
experi,11,1
alway,find,1
make,content,1
relev,reader,1
someth,learn,1
think,benefit,1
benefit,ask,1
ask,share,1
similar,experi,1
11,nightli,1
nightli,self,1
routin,12,1
12,relax,1
relax,essenti,1
essenti,oil,1
oil,blend,1
blend,love,1
13,best,1
hack,rest,1
rest,night,1
night,sleep,1
