Source,Target,Weight
countless,excel,1
excel,resourc,1
resourc,data,1
resourc,list,1
resourc,hub,1
data,scienc,14
data,site,1
data,visual,1
data,manag,1
data,take,1
data,’,1
data,data,1
data,research,1
data,interact,1
scienc,littl,1
scienc,expert,1
scienc,blog,1
scienc,beginn,1
scienc,central,3
scienc,big,1
scienc,topic,1
scienc,contribut,1
scienc,whole,1
scienc,intersect,1
scienc,focus,1
scienc,spent,1
littl,overwhelm,1
littl,subject,1
overwhelm,know,1
know,start,1
start,articl,1
start,want,1
articl,list,1
list,use,1
list,data,1
list,best,1
use,blog,1
blog,websit,1
blog,also,1
blog,post,1
blog,’,1
blog,press,1
websit,everyone—from,1
websit,keep,1
websit,link,3
everyone—from,data,1
expert,complet,1
expert,contribut,1
expert,data,1
complet,newbi,1
newbi,addit,1
addit,offer,1
offer,advic,1
offer,commun,1
advic,learn,1
learn,resourc,1
learn,littl,1
also,full,1
also,check,1
also,offer,1
also,featur,1
full,websit,1
keep,inform,1
inform,current,1
current,news,1
news,trend,1
news,commentari,1
trend,opinion,1
trend,busi,1
opinion,profession,1
profession,’,1
’,get,1
’,growth,1
’,founder,1
get,start,1
want,learn,1
subject,also,1
check,list,1
best,book,1
book,data,1
beginn,link,1
link,run,1
link,datasciencecentral.com,1
link,smartdatacollective.com,1
link,whatsthebigdata.com,1
run,vincent,1
run,social,1
run,gil,1
run,consult,1
vincent,granvil,1
granvil,websit,1
datasciencecentral.com,data,1
central,exactli,1
central,also,1
central,focus,1
exactli,name,1
name,suggest,1
suggest,act,1
act,onlin,1
onlin,resourc,1
hub,everyth,1
everyth,relat,1
everyth,technolog,1
relat,data,1
big,data,5
site,cover,1
site,updat,1
site,focus,1
cover,wide,1
wide,array,1
array,data,1
topic,regard,1
topic,site,1
regard,analyt,1
analyt,technolog,1
technolog,tool,1
technolog,busi,1
tool,data,1
visual,code,1
code,job,1
job,opportun,1
opportun,industri,1
industri,expert,2
contribut,discuss,1
contribut,writer,1
contribut,industri,1
discuss,insight,1
discuss,question,1
insight,key,1
insight,data,1
key,topic,1
updat,frequent,1
frequent,nearli,1
nearli,two,1
two,blog,1
post,day,1
day,contribut,1
writer,also,1
commun,forum,1
commun,site,1
forum,discuss,1
question,run,1
social,media,1
media,today,1
today,websit,1
today,blog,1
smartdatacollective.com,smartdata,1
smartdata,collect,2
collect,commun,1
collect,look,1
focus,trend,1
focus,directli,1
focus,impact,1
busi,intellig,1
busi,run,1
busi,govern,1
intellig,data,1
manag,similar,1
similar,data,1
featur,insight,1
directli,data,1
whole,smartdata,1
look,wider,1
wider,field,1
field,data,1
intersect,busi,1
gil,press,2
press,websit,1
press,intim,1
press,explor,1
whatsthebigdata.com,'s,1
's,big,1
take,differ,1
differ,approach,1
approach,data,1
impact,big,1
impact,everyth,1
growth,digit,1
digit,behemoth,1
behemoth,today,1
founder,gil,1
intim,familiar,1
familiar,big,1
spent,career,1
career,data,1
research,run,1
consult,practic,1
practic,blog,1
explor,big,1
interact,live,1
live,impact,1
govern,polici,1
polici,provid,1
provid,sourc,1
sourc,news,1
commentari,sphere,1
sphere,data,1
