Source,Target,Weight
abigail,malat,1
malat,staff,1
staff,illustr,1
illustr,insid,1
insid,scienc,3
scienc,reach,1
scienc,behind,1
scienc,editori,1
scienc,contact,1
reach,end,1
end,decades-long,1
decades-long,journey,1
journey,showcas,1
showcas,scienc,1
behind,discoveri,1
discoveri,headlin,1
headlin,insid,1
editori,independ,1
independ,news,1
news,servic,1
servic,american,1
american,institut,2
institut,physic,2
physic,©,1
physic,insid,1
©,2022,1
2022,american,1
contact,us,1
us,privaci,1
privaci,polici,1
polici,reprint,1
reprint,right,1
