Source,Target,Weight
trust,busi,1
busi,builder,2
busi,hubspot,2
busi,tech,3
busi,trend,2
busi,idea,2
busi,profession,1
busi,week,1
busi,far,1
busi,'s,1
builder,worldwid,1
builder,deliv,1
worldwid,hubspot,1
hubspot,blog,1
hubspot,'s,2
hubspot,expert,1
hubspot,hubspot,1
hubspot,podcast,1
hubspot,cmo,1
blog,number-on,1
blog,across,1
blog,score,1
number-on,sourc,1
sourc,educ,1
educ,inspir,1
educ,show,1
educ,grow,1
educ,blog,1
inspir,resourc,1
resourc,idea,1
idea,put,1
idea,sam,1
idea,base,1
put,modern,1
modern,market,1
market,ahead,1
market,leader,1
market,strategi,1
market,redefin,1
market,'s,1
market,sale,2
market,autom,1
market,softwar,1
ahead,curv,2
ahead,expand,1
curv,strategi,1
curv,tip,1
strategi,help,1
strategi,experienc,1
strategi,skill,1
strategi,tactic,1
strategi,insight,1
help,elev,1
help,build,1
help,make,1
elev,sale,1
sale,effort,1
sale,rep,1
sale,custom,2
sale,crm,1
effort,everyth,1
everyth,need,2
need,deliv,1
need,know,1
need,in-depth,1
deliv,top-notch,1
deliv,inbox,1
deliv,weekli,1
top-notch,custom,1
custom,servic,4
custom,busi,1
custom,asset,1
servic,tutori,1
servic,industri,1
servic,cm,1
servic,softwar,1
tutori,how-to,1
how-to,help,1
build,better,1
build,busi,2
better,websit,1
better,brand,1
websit,essenti,1
essenti,daili,1
daili,read,1
daili,dose,1
read,thing,1
thing,ai,1
ai,busi,1
's,handcraft,1
's,club,1
's,happen,1
's,ahead,1
's,need,1
's,market,1
handcraft,email,1
email,newslett,1
newslett,tuck,1
tuck,one,1
one,place,1
one,download,1
one,platform,1
place,irrever,1
irrever,insight,1
irrever,offbeat,1
insight,take,1
insight,industri,1
insight,oper,1
insight,hubspot,1
take,busi,2
take,control,1
tech,deliv,1
tech,learn,1
tech,news,1
inbox,data-back,1
data-back,busi,1
trend,research,1
trend,everyth,1
trend,opportun,1
trend,lead,1
research,insight,1
industri,analys,1
industri,multi-us,1
analys,busi,1
weekli,new,1
new,insight,1
new,busi,1
oper,wisdom,1
oper,commerc,1
oper,softwar,1
wisdom,keep,1
keep,market,1
leader,ahead,1
tip,tactic,1
tactic,strategi,1
tactic,trend,1
experienc,sale,1
rep,help,1
make,presid,1
presid,'s,1
club,brows,1
brows,collect,1
collect,educ,1
show,video,1
video,youtub,1
video,format,1
youtub,unriv,1
unriv,storytel,1
storytel,video,1
format,subscrib,1
subscrib,littl,1
littl,revel,1
revel,across,1
across,busi,1
across,web,1
learn,market,1
learn,get,1
skill,straight,1
straight,hubspot,1
expert,come,1
expert,interact,1
come,brainstorm,1
brainstorm,busi,1
sam,shaan,1
sam,parr,1
shaan,legend,1
shaan,puri,1
legend,game,1
game,watch,1
watch,two,1
two,cerebr,1
cerebr,cmo,1
cmo,tackl,1
cmo,kipp,1
cmo,kieran,1
tackl,strategi,1
know,build,1
podcast,network,1
network,destin,1
destin,busi,1
profession,seek,1
seek,best,1
best,educ,1
best,shot,1
grow,busi,1
week,host,1
week,anoth,1
host,sam,1
parr,shaan,1
puri,explor,1
explor,new,1
base,trend,1
opportun,market,1
redefin,success,1
success,mean,1
success,hubspot,1
mean,find,1
find,joy,1
joy,eas,1
eas,peac,1
peac,pursuit,1
pursuit,goal,1
goal,daili,1
dose,irrever,1
offbeat,inform,1
inform,take,1
inform,empow,1
news,week,1
anoth,bite,1
anoth,search,1
bite,break,1
break,latest,1
latest,greatest,1
latest,busi,1
greatest,pitch,1
pitch,shark,1
shark,tank,1
tank,build,1
far,fast,1
fast,success,1
kipp,bodnar,1
bodnar,zapier,1
zapier,cmo,1
kieran,flanagan,1
flanagan,share,1
share,'s,1
happen,market,1
expand,knowledg,1
knowledg,take,1
control,career,1
career,in-depth,1
in-depth,guid,2
guid,lesson,1
guid,dozen,1
lesson,tool,1
tool,learn,1
get,certifi,1
certifi,latest,1
lead,expert,1
interact,document,1
document,spreadsheet,1
spreadsheet,custom,1
dozen,topic,1
topic,pertain,1
pertain,market,1
multi-us,content,1
content,bundl,1
content,market,1
bundl,one,1
download,inform,1
empow,team,1
team,custom,1
asset,better,1
brand,strategi,1
cm,oper,1
commerc,softwar,2
softwar,one,1
softwar,free,6
platform,see,1
see,price,1
price,market,1
autom,softwar,1
free,premium,6
premium,plan,6
plan,sale,1
plan,custom,1
plan,content,1
plan,oper,1
plan,b2b,1
plan,tri,1
crm,softwar,1
b2b,commerc,1
tri,anoth,1
search,'ll,1
'll,give,1
give,best,1
shot,updat,1
updat,februari,1
februari,01,1
01,2017,1
2017,publish,1
publish,april,1
april,17,1
17,2014,1
2014,teach.com,1
teach.com,recent,1
recent,came,1
came,teach100,1
teach100,rank,1
rank,score,1
score,hundr,1
score,four,1
hundr,educ,1
web,blog,1
four,compon,1
