Source,Target,Weight
save,50,1
50,12,1
12,month,1
month,limit,1
limit,time,1
time,offer,1
time,templat,2
time,mailchimp,1
offer,get,1
offer,one,2
offer,300+,1
get,start,1
get,open,1
get,deliv,1
get,guid,1
start,today,1
today,email,1
email,market,6
email,convert,2
email,drag,1
email,get,1
email,deliver,1
email,reach,1
email,gener,1
email,press,1
market,send,2
market,tool,2
market,autom,3
market,amplifi,2
market,platform,2
market,next,1
market,type,1
market,email,3
market,activ,1
market,holist,1
market,e-commerc,1
send,person,2
send,profession,1
person,email,2
convert,ai,2
ai,market,2
ai,growth,2
tool,say,2
tool,help,1
say,hello,2
hello,ai,2
growth,assist,2
assist,websit,2
websit,creat,2
creat,brand,2
brand,web,2
web,presenc,2
presenc,audienc,2
audienc,manag,2
manag,target,2
manag,market,1
manag,also,1
target,segment,2
segment,custom,2
custom,market,2
custom,pre-design,2
custom,junk,1
custom,servic,1
custom,success,1
autom,deliv,2
autom,platform,1
autom,develop,1
deliv,right,2
deliv,next,1
deliv,'re,1
right,messag,2
right,time,2
messag,right,2
templat,custom,2
pre-design,layout,2
layout,report,2
report,analyt,2
report,tool,1
analyt,track,2
analyt,report,1
analyt,unlock,1
track,sale,2
sale,campaign,2
sale,less,1
sale,seen,1
campaign,perform,2
campaign,drive,1
campaign,manag,1
campaign,mailchimp,1
campaign,data,1
campaign,dedic,1
perform,social,2
social,media,2
media,market,2
amplifi,convers,2
convers,across,2
across,multipl,2
multipl,channel,2
channel,see,2
see,featur,2
see,product,2
see,’,1
see,resourc,1
featur,see,2
product,offer,2
one,place,2
place,shopifi,1
place,see,1
shopifi,wix,1
shopifi,googl,1
wix,salesforc,1
salesforc,canva,1
canva,woocommerc,1
woocommerc,help,1
help,center,2
help,busi,1
help,sell,1
help,make,1
help,bring,1
center,case,2
case,studi,2
studi,event,2
event,english,2
english,español,2
español,françai,2
françai,portuguê,2
portuguê,deutsch,2
deutsch,italiano,2
italiano,email,2
’,new,1
’,live,1
new,see,1
resourc,help,1
platform,take,1
platform,recommend,1
platform,make,1
platform,mailchimp,1
take,email,1
next,level,1
next,big,1
level,deliv,1
big,campaign,1
drive,sale,1
less,time,1
mailchimp,1,1
mailchimp,user,1
mailchimp,global,1
mailchimp,built,1
mailchimp,make,1
mailchimp,singl,1
mailchimp,analyz,1
mailchimp,integr,1
1,email,1
recommend,way,1
way,get,1
open,click,1
click,sale,1
seen,mailchimp,1
user,help,1
busi,sell,1
busi,send,1
busi,unlik,1
sell,mailchimp,1
sell,more—no,1
global,gener,1
gener,averag,1
gener,profession,1
averag,email,1
make,easi,1
make,sure,1
make,mailchimp,1
make,campaign,1
easi,market,1
type,busi,1
profession,engag,1
profession,written,1
engag,market,1
drag,drop,1
drop,editor,1
editor,power,1
power,autom,1
power,insight,1
develop,api,1
api,mailchimp,1
built,help,1
more—no,matter,1
matter,complex,1
complex,busi,1
unlik,platform,1
sure,market,1
're,top-rank,1
top-rank,email,1
deliver,mean,1
mean,email,1
reach,custom,1
junk,folder,1
folder,make,1
singl,sourc,1
singl,locat,1
sourc,truth,1
truth,market,1
activ,manag,1
holist,omni-channel,1
omni-channel,campaign,1
also,offer,1
also,avail,1
300+,integr,1
integr,wide,1
integr,softwar,1
wide,use,1
use,market,1
use,like,1
e-commerc,softwar,1
e-commerc,campaign,1
softwar,provid,1
softwar,alreadi,1
provid,everyth,1
everyth,need,1
need,singl,1
need,help,1
locat,mailchimp,1
analyz,hundr,1
hundr,million,1
million,data,1
data,point,1
data,get,1
point,give,1
give,suggest,1
suggest,craft,1
craft,better-perform,1
better-perform,email,1
written,on-brand,1
on-brand,market,1
press,button,1
button,advanc,1
advanc,analyt,1
alreadi,use,1
alreadi,includ,1
like,shopifi,1
googl,analyt,1
unlock,power,1
insight,e-commerc,1
guid,support,1
support,onboard,1
support,ever,1
onboard,specialist,1
specialist,’,1
live,hands-on,1
hands-on,alreadi,1
includ,subscript,1
subscript,custom,1
servic,team,1
servic,also,1
team,alway,1
alway,avail,1
avail,readi,1
readi,support,1
ever,need,1
bring,question,1
question,commun,1
commun,expert,1
expert,find,1
find,perfect,1
perfect,advic,1
advic,campaign,1
dedic,custom,1
success,servic,1
