Source,Target,Weight
zapier,’,1
zapier,market,1
zapier,blog,1
’,revop,1
revop,team,1
revop,creat,1
team,autom,1
autom,lead,1
autom,best,1
lead,manag,1
manag,use,1
use,ai,1
use,case,1
use,test,1
use,app,1
use,evalu,1
use,audienc,1
ai,zapier,1
market,sale,2
market,shine,1
market,tool,2
market,research,1
market,app,3
market,hubspot,1
market,program,1
market,autom,1
market,servic,1
market,platform,1
market,oper,1
sale,revop,1
sale,featur,1
creat,first,1
first,zap,1
zap,eas,1
eas,home,1
eas,use,1
home,app,1
app,pick,1
app,best,1
app,n't,1
app,free,2
app,mailerlit,1
app,roundup,1
app,use,1
app,'s,1
app,link,1
app,review,1
app,featur,1
pick,best,1
best,app,3
best,one,1
best,free,1
best,option,1
n't,channel,1
n't,free,2
n't,start,1
channel,reach,1
reach,custom,1
custom,ground,1
custom,n't,1
ground,alway,1
alway,shift,1
shift,beneath,1
beneath,'s,1
's,email,1
's,entir,1
's,intend,1
's,look,1
email,market,12
email,templat,1
email,campaign,2
email,editor,1
email,reli,1
email,right,1
shine,good,1
shine,eas,1
good,news,1
news,'s,1
entir,ecosystem,1
ecosystem,free,1
free,email,6
free,plan,2
free,one,1
free,'re,1
free,market,1
free,free,1
free,send,1
free,``,1
free,long,1
free,templat,1
tool,avail,1
tool,want,1
avail,featur,1
featur,'ll,1
featur,mailchimp,1
featur,zapier,1
featur,small,1
featur,free,1
'll,need,1
need,build,1
need,realli,1
need,capabl,1
build,email,1
research,test,2
test,60,1
test,write,1
test,app,1
test,free,1
test,email,1
60,email,1
plan,find,1
plan,loop,1
plan,plenti,1
find,best,1
one,varieti,1
one,far,1
varieti,use,1
case,busi,1
case,n't,1
busi,type,1
busi,need—for,1
busi,mean,1
type,six,1
six,best,1
mailerlit,advanc,1
advanc,email,1
hubspot,segment,1
segment,brevo,1
segment,success,1
segment,featur,1
brevo,formerli,1
formerli,sendinblu,1
sendinblu,all-in-on,1
all-in-on,market,1
mailchimp,grow,1
grow,email,1
grow,busi,1
program,sender,1
sender,gener,1
gener,free,1
gener,regard,1
loop,email,1
roundup,written,1
written,human,1
human,'ve,1
've,spent,1
spent,much,1
much,career,1
career,use,1
write,softwar,1
softwar,unless,1
softwar,choos,1
unless,explicitli,1
explicitli,state,1
state,spend,1
spend,dozen,1
dozen,hour,1
hour,research,1
intend,use,1
evalu,criteria,1
evalu,categori,1
criteria,set,1
set,categori,1
categori,'re,1
categori,app,1
're,never,1
're,get,1
never,paid,1
paid,placement,1
paid,plan,1
placement,articl,1
articl,app,1
link,site—w,1
site—w,valu,1
valu,trust,1
trust,reader,1
reader,put,1
put,us,1
us,offer,1
offer,authent,1
offer,flexibl,1
offer,thousand,1
authent,evalu,1
review,detail,1
detail,process,1
process,read,1
read,full,1
full,rundown,1
rundown,select,1
select,app,1
blog,full-featur,1
full-featur,email,1
far,mutual,1
mutual,exclus,1
exclus,ton,1
ton,option,1
option,offer,1
option,commit,1
option,come,1
flexibl,subscrib,1
subscrib,send,2
send,threshold,1
send,includ,1
send,per,1
threshold,along,1
along,robust,1
robust,featur,1
small,busi,1
need—for,free,1
get,start,1
get,free,1
start,free,1
start,email,1
start,case,1
want,tri,1
tri,option,1
commit,paid,1
plenti,choic,1
choic,'s,1
look,test,1
servic,number,1
number,subscrib,1
includ,free,1
includ,low,1
platform,gener,1
platform,n't,1
regard,offer,1
thousand,free,1
per,month,1
month,other,1
other,includ,1
low,cap,1
cap,mean,1
mean,``,1
mean,need,1
``,free,1
``,platform,1
long,kept,1
kept,mind,1
mind,test,1
templat,custom,1
templat,get,1
templat,email,1
oper,scratch,1
scratch,best,1
come,least,1
least,fully-design,1
fully-design,profession,1
profession,templat,1
campaign,start,1
campaign,softwar,1
editor,need,1
realli,shine,1
audienc,segment,2
success,email,1
reli,abl,1
abl,deliv,1
deliv,right,1
right,email,1
right,peopl,1
right,time,1
peopl,right,1
time,grow,1
capabl,audienc,1
