Source,Target,Weight
educ,educ,1
educ,oldest,1
educ,plu,1
educ,student,1
educ,school,1
oldest,trust,1
trust,web,1
web,publish,1
publish,platform,1
platform,teacher,1
platform,top,1
platform,make,1
teacher,student,1
teacher,feedback,1
teacher,campuspress,1
student,5,1
student,leav,1
student,work,1
student,’,1
5,million,1
5,pro,1
million,blog,1
blog,count,1
blog,websit,1
blog,featur,1
blog,tool,1
blog,major,1
blog,post,1
count,sinc,1
sinc,2005,1
2005,share,1
share,collabor,1
collabor,build,1
build,learn,1
build,commun,1
learn,use,1
use,easi,1
use,free,1
use,class,1
easi,invit,1
easi,blog,1
easi,anyon,1
easi,bring,1
invit,code,1
code,class,1
code,review,1
class,manag,2
manag,tool,2
manag,sell,1
tool,get,1
tool,keep,1
tool,run,1
tool,plugin,1
tool,long,1
tool,group,1
get,start,1
start,importantli,1
start,free,1
importantli,’,1
’,free,1
’,built,1
’,all-in-on,1
’,like,2
’,ad,1
’,find,1
’,link,1
free,content,1
free,trial,1
free,blog,1
content,filter,1
content,see,1
content,take,1
filter,moder,1
moder,option,1
option,multipl,1
multipl,privaci,1
privaci,tool,1
privaci,guid,1
keep,everyon,1
keep,everyth,1
everyon,safe,1
safe,leav,1
safe,reliabl,1
leav,privat,2
privat,teacher,1
privat,feedback,1
feedback,easili,1
feedback,student,1
easili,emb,1
emb,video,1
video,work,1
work,build,1
work,’,1
work,us,1
commun,’,1
commun,educ,1
built,platform,1
top,wordpress,1
wordpress,also,1
wordpress,busi,1
wordpress,site,1
also,power,1
also,export,1
power,1/3rd,1
1/3rd,internet,1
internet,blog,1
websit,portfolio,1
websit,help,1
websit,school,1
portfolio,network,1
network,more…,1
network,submit,1
more…,edublog,1
edublog,meant,1
meant,individu,1
individu,teacher,1
campuspress,design,1
campuspress,network,1
campuspress,theedublogg,1
design,entir,1
entir,school,1
school,district,2
school,deserv,1
district,univers,1
district,quick,1
univers,come,1
come,great,1
great,easi,1
featur,tool,1
featur,theme,1
run,wordpress,1
busi,wpmu,1
wpmu,dev,2
dev,host,1
dev,’,1
host,tool,1
plugin,support,1
plugin,gear,1
support,need,1
support,compani,1
need,wpmu,1
all-in-on,platform,1
make,easi,2
anyon,creat,1
creat,manag,1
creat,site,1
sell,wordpress,1
site,start,1
site,»,1
trial,today,1
today,absolut,1
absolut,use,1
long,’,1
like,ad,1
like,control,1
like,purchas,1
like,41.5k,1
ad,gotcha,1
ad,ton,1
ad,complet,1
gotcha,anyth,1
anyth,like,1
control,access,1
access,content,1
access,easy-to-upd,1
see,privaci,1
guid,inform,1
inform,use,1
inform,campuspress,1
group,monitor,1
monitor,student,1
ton,featur,1
theme,plugin,1
theme,ad,1
gear,educ,1
plu,larg,1
plu,round-up,1
larg,commun,1
find,anywher,1
anywher,els,1
els,yep,1
yep,’,1
purchas,5,1
pro,licens,1
licens,look,1
look,‘,1
‘,bulk,1
bulk,upgrad,1
upgrad,’,1
link,dashboard,1
link,campuspress,1
dashboard,inform,1
dashboard,thank,1
submit,theme,1
complet,thorough,1
thorough,code,1
review,keep,1
everyth,safe,1
reliabl,sure,1
sure,make,1
bring,exist,1
exist,blog,1
major,servic,1
servic,also,1
export,content,1
take,time,1
time,64.4k,1
64.4k,like,1
41.5k,follow,1
follow,8.2k,1
8.2k,monthli,1
monthli,view,1
view,plu,1
round-up,best,1
best,blog,1
post,written,1
written,fellow,1
fellow,educ,1
deserv,better,1
better,websit,1
help,afford,1
help,support,1
afford,access,1
easy-to-upd,websit,1
quick,link,1
theedublogg,help,1
compani,contact,1
contact,work,1
us,«,1
«,go,1
go,back,1
go,dashboard,1
back,regist,1
regist,account,1
account,»,1
»,creat,1
»,go,1
