Source,Target,Weight
depart,a-z,1
a-z,research,1
research,research,2
research,group,1
research,programm,1
research,work,1
research,polici,1
research,prioriti,1
research,africa,1
research,read,1
research,publish,1
research,languag,1
research,aim,1
research,challeng,1
group,research,1
programm,impact,1
programm,24,1
impact,work,1
impact,covid-19,1
work,paper,1
work,intern,1
paper,seri,1
paper,well,1
seri,event,1
seri,reflect,1
event,cambridg,1
cambridg,journal,1
journal,educ,1
educ,page,1
educ,develop,1
educ,challeng,1
educ,sector,1
educ,reform,1
page,list,1
page,asma,1
list,real,1
real,centr,1
centr,blog,1
blog,written,1
blog,curat,1
blog,present,2
blog,post,7
blog,highlight,1
blog,discuss,1
blog,conclud,1
blog,focus,1
written,staff,1
staff,student,1
student,partner,1
student,particip,1
partner,includ,1
includ,blog,1
curat,part,1
part,seri,1
part,girl,1
reflect,impact,1
covid-19,pandem,1
pandem,research,1
intern,educ,1
intern,academ,1
develop,research,1
develop,need,1
develop,foundat,1
polici,paper,1
polici,plan,1
well,report,1
report,found,1
found,public,1
public,page,1
asma,zubairi,1
zubairi,paulin,1
paulin,rose,2
paulin,essah,1
rose,monazza,1
rose,jee,1
monazza,aslam,1
aslam,romanshi,1
romanshi,gupta,1
gupta,shenila,1
shenila,rawal,1
rawal,catherin,1
catherin,jere,1
jere,participatori,1
participatori,method,1
method,22,1
22,januari,1
januari,2024,2
2024,blog,2
present,stori,1
present,poem,1
stori,out-of-school,1
stori,gather,1
out-of-school,marginalis,1
marginalis,adolesc,1
adolesc,girl,1
girl,kenya,1
girl,educ,1
kenya,ghana,1
ghana,nepal,1
nepal,took,1
took,part,1
challeng,project,1
challeng,opportun,1
project,promot,1
promot,agenc,1
agenc,life,1
life,choic,1
life,visual,1
choic,livelihood,1
livelihood,journey,1
journey,stori,1
gather,use,1
use,river,1
river,life,1
visual,story-tel,1
story-tel,approach,1
approach,read,1
read,full,7
full,blog,7
post,laila,1
post,samuel,1
post,tebej,1
post,hélène,1
post,basirat,1
post,daniel,1
post,tassew,1
laila,kadiw,1
kadiw,mario,1
mario,novelli,1
novelli,paulin,1
jee,rubin,1
rubin,yusuf,1
yusuf,say,1
say,maha,1
maha,shuayb,1
shuayb,arathi,1
arathi,sriprakash,1
sriprakash,baic,1
baic,17,1
17,decemb,1
decemb,2023,2
2023,ukfiet,2
2023,blog,3
2023,ethiopia,1
2023,french,1
2023,extent,1
ukfiet,18,1
ukfiet,14,1
ukfiet,9,1
ukfiet,confer,1
ukfiet,24,1
18,januari,1
highlight,implic,1
implic,academ,1
academ,scholarli,1
academ,solidar,1
scholarli,silenc,1
silenc,inact,1
inact,provid,1
provid,five,1
five,clear,1
clear,recommend,1
recommend,intern,1
solidar,read,1
samuel,asar,1
asar,paulin,1
essah,ukfiet,1
14,decemb,1
discuss,research,1
prioriti,profession,1
profession,develop,1
need,earli,1
earli,childhood,1
childhood,develop,1
foundat,learn,1
foundat,literaci,1
learn,research,1
africa,draw,1
africa,read,1
draw,data,1
draw,attent,1
data,collect,1
collect,africa-bas,1
africa-bas,research,1
tebej,molla,1
molla,dawit,1
dawit,tibebu,1
tibebu,tiruneh,1
tiruneh,convers,1
convers,23,1
23,novemb,2
novemb,2023,4
ethiopia,’,1
’,secondari,1
secondari,educ,1
sector,crisi,1
crisi,hundr,1
hundr,thousand,1
thousand,children,1
children,continu,1
children,disabl,1
continu,complet,1
complet,primari,1
primari,school,1
school,without,1
school,leav,1
without,grasp,1
grasp,fundament,1
fundament,literaci,1
literaci,numeraci,1
literaci,numberaci,1
numeraci,second,1
second,consecut,1
consecut,year,1
year,96,1
96,student,1
particip,nation,1
particip,read,1
nation,school,1
leav,examin,1
examin,score,1
score,less,1
less,mark,1
mark,requir,1
requir,pass,1
pass,time,1
time,act,1
act,sens,1
sens,urgenc,1
urgenc,purpos,1
purpos,read,1
hélène,biness,1
biness,rui,1
rui,da,1
da,silva,1
silva,ukfiet,1
9,novemb,1
french,version,1
version,norrag,1
norrag,23,1
norrag,2,1
extent,african,1
african,research,1
publish,foundat,1
numberaci,blog,1
conclud,research,1
languag,english,1
english,support,1
support,ensur,1
ensur,divers,1
ensur,visibl,1
divers,equit,1
equit,particip,1
basirat,razaq-shuaib,1
basirat,deliv,1
razaq-shuaib,norrag,1
2,novemb,1
poem,basirat,1
poem,draw,1
deliv,2023,1
confer,poem,1
attent,non-prioritis,1
non-prioritis,children,1
disabl,educ,1
reform,agenda,1
agenda,read,1
daniel,hawkin,1
hawkin,iddrisu,1
iddrisu,ukfiet,1
24,octob,2
octob,2023,2
focus,map,1
map,sub-saharan,1
sub-saharan,african-bas,1
african-bas,ecd,1
ecd,research,2
aim,understand,1
understand,landscap,1
landscap,ecd,1
opportun,avail,1
avail,ensur,1
visibl,applic,1
applic,locally-l,1
locally-l,evid,1
evid,inform,1
inform,polici,1
plan,practic,1
practic,africa,1
tassew,woldehanna,1
woldehanna,chani,1
chani,ejigu,1
ejigu,berhi,1
berhi,rise,1
rise,programm,1
