Source,Target,Weight
William,Reader,1
William,one,1
William,understand,1
Reader,Problogg,1
Problogg,asks,1
asks,"""Mani",1
"""Mani",divers,1
divers,hobbi,1
hobbi,interest,1
interest,want,1
interest,make,1
interest,map,1
want,start,1
start,blog,1
start,entrepreneuri,1
start,reflect,1
blog,plu,1
blog,site,2
blog,person,1
blog,cover,1
blog,platform,1
blog,mani,1
blog,way,1
blog,nich,1
blog,rather,1
blog,success,1
blog,along,1
blog,1000,1
blog,11000,1
blog,key,1
blog,seem,1
blog,specif,1
plu,also,1
also,like,1
like,make,1
make,adsens,1
make,sens,1
make,good,1
adsens,likes…,1
likes…,better,1
better,one,1
one,blog,2
one,think,1
one,common,1
one,place,1
one,set,2
one,design,1
one,factor,1
site,multipl,1
site,highlight,1
multipl,categori,1
multipl,blog,1
categori,multipl,1
categori,creat,1
highlight,specif,1
specif,interest’,1
specif,"topic""",1
interest’,great,1
great,question,1
question,William,2
think,problogg,1
think,one,1
problogg,would,1
would,well,1
would,nich,1
well,think,1
well,set,1
common,way,1
way,mani,1
way,simpler,1
way,began,1
mani,blogger,1
mani,topic,1
mani,way,1
mani,topic’,1
mani,level,1
blogger,start,1
entrepreneuri,blog,1
person,gener,1
person,blog,1
gener,blog,1
gener,meta-blog,1
gener,eclect,1
gener,theme,1
cover,mani,1
cover,whilst,1
topic,interest,1
topic,cover,1
topic,solv,1
topic,major,1
sens,mani,1
sens,year,1
sens,focu,1
simpler,one,1
place,manag,1
manag,one,2
set,statist,1
set,reader,1
set,allow,1
set,nich,1
statist,one,1
design,one,1
reader,etc,1
reader,confus,1
etc,blog,1
platform,seem,1
seem,pretti,1
seem,easier,1
seem,gener,1
pretti,well,1
allow,categori,1
creat,topic,1
whilst,might,1
whilst,blog,1
might,seem,1
easier,manag,1
topic’,alway,1
alway,make,1
good,busi,2
busi,sens,2
busi,level,1
year,blog,1
began,notic,1
notic,number,1
number,thing,1
thing,made,1
made,consid,1
made,good,1
consid,new,1
new,approach,1
approach,end,1
approach,explain,1
approach,blog,1
end,got,1
got,littl,1
littl,much,1
much,bare,1
bare,decid,1
decid,splinter,1
splinter,blog,1
nich,topic,1
nich,specialti,1
nich,target,1
nich,past,1
nich,blog,2
solv,problem,1
problem,disillus,1
disillus,reader,1
confus,guilti,1
guilti,quit,1
quit,relief,1
relief,made,1
focu,upon,1
upon,nich,1
specialti,blog,1
rather,big,1
big,gener,1
meta-blog,whilst,1
success,busi,1
success,approach,1
level,gener,1
level,approach,1
eclect,rang,1
rang,topic,1
major,profit,1
profit,blog’,1
blog’,observ,1
observ,defin,1
defin,nich,1
target,success,1
explain,mani,1
along,line,1
line,nich,1
past,18,1
18,month,1
month,sinc,1
sinc,move,1
move,approach’,1
approach’,gone,1
gone,1,1
1,blog,1
1000,page,1
page,around,1
page,25000,1
around,900,1
900,daili,1
daili,visitor,2
visitor,earn,2
earn,dollar,1
earn,hundr,1
dollar,per,2
per,day,2
day,20,1
day,cours,1
20,blog,1
11000,page,1
25000,daili,1
hundr,dollar,1
cours,factor,1
factor,led,1
factor,would,1
led,growth,1
growth,–,1
–,narrow,1
–,hope,1
narrow,one,1
key,–,1
hope,answer,1
answer,question,1
understand,complet’,1
complet’,becom,1
becom,concern,1
concern,person,1
theme,interest,1
map,post,1
post,start,1
reflect,particular,1
particular,plan,1
plan,use,1
use,set,1
