Source,Target,Weight
welcom,member,1
member,sampl,1
sampl,unlock,1
unlock,content,1
content,achiev,1
achiev,sale,1
sale,quota,1
sale,perform,4
sale,rep,1
sale,pro,1
quota,easi,1
easi,feat,1
feat,know,1
know,take,1
know,custom,1
know,shut,1
take,great,1
great,deal,1
great,sale,1
deal,hard,1
deal,quickli,1
hard,work,1
work,long,1
work,increas,1
long,hour,1
hour,dedic,1
dedic,becom,1
becom,dishearten,1
dishearten,put,1
put,much,1
much,effort,1
effort,still,1
still,somehow,1
somehow,find,1
find,sale,1
perform,lack,1
perform,train,1
perform,know,1
perform,requir,1
lack,great,1
rep,requir,1
requir,natur,1
requir,high,1
natur,aptitud,1
aptitud,‘,1
‘,gift,1
gift,gab,1
gab,’,1
’,particular,1
’,look,1
particular,skill,1
skill,hone,1
skill,need,1
skill,consid,1
skill,develop,1
hone,develop,1
develop,make,1
develop,sale,1
develop,meaning,1
make,hard-won,1
make,engag,1
make,use,1
hard-won,convers,1
convers,far,1
convers,alert,1
far,easier,1
easier,come,1
come,read,1
read,learn,1
learn,top,1
learn,get,1
top,skill,2
need,work,1
need,employ,1
need,realli,1
need,abl,1
increas,sale,2
train,research,1
research,skillsth,1
research,start,1
research,skill,1
research,competit,1
skillsth,better,1
better,inform,1
better,sale,1
inform,custom,1
custom,competitor,1
custom,look,1
custom,say,1
custom,relationship,1
competitor,current,1
competitor,make,1
current,market,1
market,trend,1
trend,better,1
look,problem,1
look,rival,1
look,also,1
problem,tri,1
tri,solv,1
solv,help,1
help,make,1
engag,pitch,1
pitch,close,1
close,high-valu,1
high-valu,deal,1
quickli,research,1
start,onlin,1
onlin,day,1
day,look,1
rival,product,1
product,websit,1
websit,googl,1
googl,prospect,1
prospect,mani,1
prospect,custom,1
mani,way,1
way,improv,1
improv,research,1
consid,learn,1
get,crm,1
crm,use,1
use,social,1
use,new,1
social,listen,1
listen,discov,1
listen,skillson,1
listen,activ,1
listen,level,1
listen,need,1
discov,client,1
client,competitor,1
new,ai,1
ai,research,1
competit,analysi,1
analysi,tool,1
tool,appear,1
appear,marketplac,1
marketplac,activ,1
activ,listen,2
skillson,top,1
pro,centr,1
centr,larg,1
larg,know,1
shut,listen,1
level,listen,1
employ,realli,1
realli,want,1
realli,hear,1
want,increas,1
high,degre,1
degre,focu,1
focu,empathi,1
empathi,need,1
hear,prospect,1
say,also,1
also,need,1
also,allow,1
abl,decod,1
decod,subtl,1
subtl,nuanc,1
nuanc,convers,1
alert,real,1
real,busi,1
busi,pain,1
pain,prefer,1
prefer,ask,1
ask,right,1
right,follow-up,1
right,moment,1
follow-up,question,1
question,right,1
moment,allow,1
allow,gain,1
allow,build,1
gain,greater,1
greater,insight,1
insight,’,1
build,rapport,1
rapport,develop,1
meaning,long-last,1
long-last,custom,1
relationship,lead,1
lead,higher,1
higher,revenu,1
